pos_x_center,pos_y_center,pos_x_upper,pos_y_upper,pos_x_lower,pos_y_lower,pos_seg_num
26.372889,30.965512,26.372889,35.192744,26.372889,26.687728,1.000000
26.642000,30.940383,26.642000,35.137196,26.642000,26.693900,1.000000
26.911111,30.915254,26.911111,35.087820,26.911111,26.693900,1.000000
27.180222,30.890125,27.180222,35.038444,27.180222,26.693900,1.000000
27.449333,30.864702,27.449333,34.995240,27.449333,26.693900,1.000000
27.718444,30.838986,27.718444,34.945864,27.718444,26.687728,1.000000
27.987556,30.812975,27.987556,34.908832,27.987556,26.681556,1.000000
28.256667,30.786377,28.256667,34.865628,28.256667,26.669212,1.000000
28.525778,30.758897,28.525778,34.834768,28.525778,26.656868,1.000000
28.794889,30.730388,28.794889,34.797736,28.794889,26.638352,1.000000
29.064000,30.700851,29.064000,34.766876,29.064000,26.619836,1.000000
29.333111,30.669550,29.333111,34.736016,29.333111,26.595148,1.000000
29.602222,30.636632,29.602222,34.705156,29.602222,26.570460,1.000000
29.871333,30.601805,29.871333,34.674296,29.871333,26.533428,1.000000
30.140444,30.564626,30.140444,34.643436,30.140444,26.502568,1.000000
30.409556,30.524949,30.409556,34.618748,30.409556,26.459364,1.000000
30.678667,30.482185,30.678667,34.587888,30.678667,26.416160,1.000000
30.947778,30.436189,30.947778,34.557028,30.947778,26.360612,1.000000
31.216889,30.386226,31.216889,34.519996,31.216889,26.305064,1.000000
31.486000,30.332147,31.486000,34.489136,31.486000,26.243344,1.000000
31.755111,30.273366,31.755111,34.445932,31.755111,26.169280,1.000000
32.024222,30.209589,32.024222,34.408900,32.024222,26.089044,1.000000
32.293333,30.140227,32.293333,34.365696,32.293333,26.002636,1.000000
32.562444,30.065282,32.562444,34.316320,32.562444,25.903884,1.000000
32.831556,29.984458,32.831556,34.266944,32.831556,25.798960,1.000000
33.100667,29.897756,33.100667,34.211396,33.100667,25.681692,1.000000
33.369778,29.804882,33.369778,34.149676,33.369778,25.552080,1.000000
33.638889,29.705983,33.638889,34.081784,33.638889,25.410124,1.000000
33.908000,29.601059,33.908000,34.007720,33.908000,25.255824,1.000000
34.177111,29.490551,34.177111,33.933656,34.177111,25.089180,1.000000
34.446222,29.374605,34.446222,33.847248,34.446222,24.910192,1.000000
34.715333,29.253223,34.715333,33.754668,34.715333,24.718860,1.000000
34.984444,29.127431,34.984444,33.662088,34.984444,24.521356,1.000000
35.253556,28.997379,35.253556,33.563336,35.253556,24.317680,1.000000
35.522667,28.863358,35.522667,33.458412,35.522667,24.107832,1.000000
35.791778,28.726251,35.791778,33.347316,35.791778,23.897984,1.000000
36.060889,28.586500,36.060889,33.236220,36.060889,23.688136,1.000000
36.330000,28.444691,36.330000,33.125124,36.330000,23.472116,1.000000
36.599111,28.301412,36.599111,33.014028,36.599111,23.262268,1.000000
36.868222,28.157546,36.868222,32.896760,36.868222,23.058592,1.000000
37.137333,28.013826,37.137333,32.779492,37.137333,22.854916,1.000000
37.406444,27.870548,37.406444,32.668396,37.406444,22.663584,1.000000
37.675556,27.728592,37.675556,32.557300,37.675556,22.478424,1.000000
37.944667,27.588693,37.944667,32.440032,37.944667,22.299436,1.000000
38.213778,27.451146,38.213778,32.335108,38.213778,22.126620,1.000000
38.482889,27.316390,38.482889,32.230184,38.482889,21.966148,1.000000
38.752000,27.184868,38.752000,32.125260,38.752000,21.811848,1.000000
39.021111,27.056872,39.021111,32.026508,39.021111,21.657548,1.000000
39.290222,26.932404,39.290222,31.933928,39.290222,21.515592,1.000000
39.559333,26.811756,39.559333,31.841348,39.559333,21.385980,1.000000
39.828444,26.694929,39.828444,31.748768,39.828444,21.256368,1.000000
40.097556,26.581922,40.097556,31.662360,40.097556,21.132928,1.000000
40.366667,26.472884,40.366667,31.575952,40.366667,21.021832,1.000000
40.635778,26.367225,40.635778,31.489544,40.635778,20.916908,1.000000
40.904889,26.264946,40.904889,31.409308,40.904889,20.811984,1.000000
41.174000,26.165753,41.174000,31.322900,41.174000,20.719404,1.000000
41.443111,26.069352,41.443111,31.236492,41.443111,20.632996,1.000000
41.712222,25.975450,41.712222,31.150084,41.712222,20.546588,1.000000
41.981333,25.883752,41.981333,31.057504,41.981333,20.472524,1.000000
42.250444,25.794404,42.250444,30.964924,42.250444,20.404632,1.000000
42.519556,25.706674,42.519556,30.872344,42.519556,20.336740,1.000000
42.788667,25.620560,42.788667,30.773592,42.788667,20.281192,1.000000
43.057778,25.535915,43.057778,30.668668,43.057778,20.225644,1.000000
43.326889,25.452593,43.326889,30.563744,43.326889,20.176268,1.000000
43.596000,25.370300,43.596000,30.446476,43.596000,20.126892,1.000000
43.865111,25.289035,43.865111,30.329208,43.865111,20.083688,1.000000
44.134222,25.208799,44.134222,30.205768,44.134222,20.046656,1.000000
44.403333,25.129592,44.403333,30.082328,44.403333,20.003452,1.000000
44.672444,25.051413,44.672444,29.958888,44.672444,19.972592,1.000000
44.941556,24.974557,44.941556,29.829276,44.941556,19.935560,1.000000
45.210667,24.899024,45.210667,29.705836,45.210667,19.904700,1.000000
45.479778,24.824813,45.479778,29.576224,45.479778,19.873840,1.000000
45.748889,24.752218,45.748889,29.452784,45.748889,19.842980,1.000000
46.018000,24.681240,46.018000,29.335516,46.018000,19.805948,1.000000
46.287111,24.612466,46.287111,29.218248,46.287111,19.775088,1.000000
46.556222,24.545750,46.556222,29.107152,46.556222,19.744228,1.000000
46.825333,24.481826,46.825333,29.002228,46.825333,19.713368,1.000000
47.094444,24.420547,47.094444,28.903476,47.094444,19.682508,1.000000
47.363556,24.362207,47.363556,28.817068,47.363556,19.651648,1.000000
47.632667,24.307246,47.632667,28.736832,47.632667,19.620788,1.000000
47.901778,24.255519,47.901778,28.662768,47.901778,19.589928,1.000000
48.170889,24.207466,48.170889,28.601048,48.170889,19.559068,1.000000
48.440000,24.163086,48.440000,28.545500,48.440000,19.528208,1.000000
48.709111,24.122821,48.709111,28.502296,48.709111,19.503520,1.000000
48.978222,24.086671,48.978222,28.465264,48.978222,19.472660,1.000000
49.247333,24.054929,49.247333,28.440576,49.247333,19.447972,1.000000
49.516444,24.027596,49.516444,28.415888,49.516444,19.423284,1.000000
49.785556,24.004818,49.785556,28.403544,49.785556,19.398596,1.000000
50.054667,23.986596,50.054667,28.397372,50.054667,19.380080,1.000000
50.323778,23.973077,50.323778,28.397372,50.323778,19.361564,1.000000
50.592889,23.964260,50.592889,28.403544,50.592889,19.343048,1.000000
50.862000,23.959998,50.862000,28.415888,50.862000,19.330704,1.000000
51.131111,23.960586,51.131111,28.434404,51.131111,19.324532,1.000000
51.400222,23.965876,51.400222,28.459092,51.400222,19.318360,1.000000
51.669333,23.976016,51.669333,28.489952,51.669333,19.318360,1.000000
51.938444,23.990711,51.938444,28.520812,51.938444,19.324532,1.000000
52.207556,24.010109,52.207556,28.557844,52.207556,19.336876,1.000000
52.476667,24.034062,52.476667,28.601048,52.476667,19.349220,1.000000
52.745778,24.062571,52.745778,28.644252,52.745778,19.373908,1.000000
53.014889,24.095782,53.014889,28.693628,53.014889,19.404768,1.000000
53.284000,24.133402,53.284000,28.743004,53.284000,19.435628,1.000000
53.553111,24.175283,53.553111,28.798552,53.553111,19.478832,1.000000
53.822222,24.221132,53.822222,28.854100,53.822222,19.528208,1.000000
54.091333,24.270802,54.091333,28.909648,54.091333,19.589928,1.000000
54.360444,24.323705,54.360444,28.965196,54.360444,19.657820,1.000000
54.629556,24.379547,54.629556,29.020744,54.629556,19.731884,1.000000
54.898667,24.437740,54.898667,29.076292,54.898667,19.818292,1.000000
55.167778,24.497991,55.167778,29.125668,55.167778,19.910872,1.000000
55.436889,24.559417,55.436889,29.181216,55.436889,20.015796,1.000000
55.706000,24.621724,55.706000,29.230592,55.706000,20.126892,1.000000
55.975111,24.684032,55.975111,29.279968,55.975111,20.237988,1.000000
56.244222,24.745605,56.244222,29.323172,56.244222,20.349084,1.000000
56.513333,24.806003,56.513333,29.366376,56.513333,20.466352,1.000000
56.782444,24.864343,56.782444,29.403408,56.782444,20.577448,1.000000
57.051556,24.919891,57.051556,29.434268,57.051556,20.688544,1.000000
57.320667,24.971912,57.320667,29.458956,57.320667,20.793468,1.000000
57.589778,25.019965,57.589778,29.483644,57.589778,20.892220,1.000000
57.858889,25.063316,57.858889,29.495988,57.858889,20.978628,1.000000
58.128000,25.101377,58.128000,29.508332,58.128000,21.058864,1.000000
58.397111,25.133560,58.397111,29.508332,58.397111,21.126756,1.000000
58.666222,25.158982,58.666222,29.508332,58.666222,21.176132,1.000000
58.935333,25.177351,58.935333,29.502160,58.935333,21.213164,1.000000
59.204444,25.188079,59.204444,29.489816,59.204444,21.237852,1.000000
59.473556,25.190871,59.473556,29.471300,59.473556,21.244024,1.000000
59.742667,25.185287,59.742667,29.446612,59.742667,21.237852,1.000000
60.011778,25.171032,60.011778,29.421924,60.011778,21.219336,1.000000
60.280889,25.147667,60.280889,29.391064,60.280889,21.182304,1.000000
60.550000,25.115044,60.550000,29.360204,60.550000,21.132928,1.000000
60.819111,25.072574,60.819111,29.317000,60.819111,21.071208,1.000000
61.088222,25.020406,61.088222,29.273796,61.088222,20.990972,1.000000
61.357333,24.958098,61.357333,29.230592,61.357333,20.898392,1.000000
61.626444,24.885504,61.626444,29.181216,61.626444,20.787296,1.000000
61.895556,24.802476,61.895556,29.125668,61.895556,20.663856,1.000000
62.164667,24.708720,62.164667,29.070120,62.164667,20.528072,1.000000
62.433778,24.604090,62.433778,29.008400,62.433778,20.373772,1.000000
62.702889,24.488439,62.702889,28.940508,62.702889,20.200956,1.000000
62.972000,24.361766,62.972000,28.866444,62.972000,20.015796,1.000000
63.241111,24.224218,63.241111,28.786208,63.241111,19.805948,1.000000
63.510222,24.075943,63.510222,28.699800,63.510222,19.583756,1.000000
63.779333,23.916941,63.779333,28.607220,63.779333,19.343048,1.000000
64.048444,23.748093,64.048444,28.502296,64.048444,19.083824,1.000000
64.317556,23.569839,64.317556,28.391200,64.317556,18.806084,1.000000
64.586667,23.382622,64.586667,28.273932,64.586667,18.503656,1.000000
64.855778,23.187322,64.855778,28.144320,64.855778,18.188884,1.000000
65.124889,22.984969,65.124889,28.008536,65.124889,17.849424,1.000000
65.394000,22.776150,65.394000,27.860408,65.394000,17.503792,1.000000
65.663111,22.561893,65.663111,27.712280,65.663111,17.151988,1.000000
65.932222,22.342934,65.932222,27.551808,65.932222,16.794012,1.000000
66.201333,22.120007,66.201333,27.378992,66.201333,16.436036,1.000000
66.470444,21.893700,66.470444,27.206176,66.470444,16.090404,1.000000
66.739556,21.664749,66.739556,27.027188,66.739556,15.750944,1.000000
67.008667,21.433299,67.008667,26.842028,67.008667,15.423828,1.000000
67.277778,21.199791,67.277778,26.650696,67.277778,15.115228,1.000000
67.546889,20.964521,67.546889,26.453192,67.546889,14.837488,1.000000
67.816000,20.727927,67.816000,26.255688,67.816000,14.572092,1.000000
68.085111,20.490158,68.085111,26.052012,68.085111,14.331384,1.000000
68.354222,20.251655,68.354222,25.842164,68.354222,14.103020,1.000000
68.623333,20.012563,68.623333,25.632316,68.623333,13.887000,1.000000
68.892444,19.773325,68.892444,25.410124,68.892444,13.677152,1.000000
69.161556,19.534527,69.161556,25.187932,69.161556,13.479648,1.000000
69.430667,19.296905,69.430667,24.947224,69.430667,13.282144,1.000000
69.699778,19.060752,69.699778,24.694172,69.699778,13.084640,1.000000
69.968889,18.826804,69.968889,24.422604,69.968889,12.893308,1.000000
70.238000,18.596089,70.238000,24.132520,70.238000,12.708148,1.000000
70.507111,18.369342,70.507111,23.823920,70.507111,12.522988,1.000000
70.776222,18.147150,70.776222,23.496804,70.776222,12.344000,1.000000
71.045333,17.930395,71.045333,23.151172,71.045333,12.171184,1.000000
71.314444,17.719665,71.314444,22.805540,71.314444,12.010712,1.000000
71.583556,17.515401,71.583556,22.453736,71.583556,11.862584,1.000000
71.852667,17.318191,71.852667,22.114276,71.852667,11.720628,1.000000
72.121778,17.128623,72.121778,21.787160,72.121778,11.591016,1.000000
72.390889,16.946549,72.390889,21.478560,72.390889,11.473748,1.000000
72.660000,16.772557,72.660000,21.200820,72.660000,11.374996,1.000000
72.929111,16.606795,72.929111,20.960112,72.929111,11.282416,1.000000
73.198222,16.449409,73.198222,20.756436,73.198222,11.202180,1.000000
73.467333,16.300693,73.467333,20.595964,73.467333,11.128116,1.000000
73.736444,16.160941,73.736444,20.466352,73.736444,11.066396,1.000000
74.005556,16.030594,74.005556,20.361428,74.005556,11.004676,1.000000
74.274667,15.910093,74.274667,20.281192,74.274667,10.955300,1.000000
74.543778,15.799144,74.543778,20.213300,74.543778,10.912096,1.000000
74.812889,15.697894,74.812889,20.151580,74.812889,10.868892,1.000000
75.082000,15.606196,75.082000,20.089860,75.082000,10.831860,1.000000
75.351111,15.523756,75.351111,20.021968,75.351111,10.794828,1.000000
75.620222,15.450279,75.620222,19.947904,75.620222,10.757796,1.000000
75.889333,15.385033,75.889333,19.861496,75.889333,10.733108,1.000000
76.158444,15.327721,76.158444,19.768916,76.158444,10.708420,1.000000
76.427556,15.277757,76.427556,19.676336,76.427556,10.689904,1.000000
76.696667,15.235141,76.696667,19.583756,76.696667,10.677560,1.000000
76.965778,15.199726,76.965778,19.485004,76.965778,10.671388,1.000000
77.234889,15.172246,77.234889,19.392424,77.234889,10.671388,1.000000
77.504000,15.153289,77.504000,19.299844,77.504000,10.683732,1.000000
77.773111,15.136977,77.773111,19.219608,77.773111,10.696076,1.000000
78.042222,15.123163,78.042222,19.145544,78.042222,10.720764,1.000000
78.311333,15.111701,78.311333,19.077652,78.311333,10.757796,1.000000
78.580444,15.102737,78.580444,19.034448,78.580444,10.801000,1.000000
78.849556,15.096418,78.849556,19.009760,78.849556,10.850376,1.000000
79.118667,15.092744,79.118667,19.015932,79.118667,10.918268,1.000000
79.387778,15.091863,79.387778,19.052964,79.387778,10.992332,1.000000
79.656889,15.093626,79.656889,19.127028,79.656889,11.084912,1.000000
79.926000,15.097888,79.926000,19.250468,79.926000,11.189836,1.000000
